scenario,controller,seeds,deterministic,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_violation_energy_kWh_mean,DR_violation_energy_kWh_std_across_seeds,DR_max_violation_kW_mean,DR_max_violation_kW_std_across_seeds,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds
high_it_load,greedy_tracking,1,True,481.048846522476,0,6211.89092297988,0,138.858897995443,0,76.7394473824643,0,10.15625,0,0,0,11892.601776541,0,574.666305905901,0,2258.64990122902,0,0.282331237653627,0,0.336994043463045,0,841.429133208621,0,1267.03030526297,0,27.1625905797101,0,0,0
high_it_load,direct_safesac,5,False,495.497172392473,1.05922435759038,6408.59925248854,33.633239311335,183.497757367025,20.5318130136252,153.243119417861,19.556241782597,94.320652173913,2.66837587247119,86.7391304347826,4.76280484787101,46.119073449153,22.9236976668729,62.034605826603,22.8284795129497,2856.93400346157,135.82947236151,0.357116750432696,0.0169786840451888,0.242792304727534,0.0229250539113916,821.498426011686,26.718821842226,821.498426011686,26.718821842226,45.853713768116,14.9277257685868,37.6471920289855,3.76041335297293
high_it_load,residual_sac,5,False,486.621154227851,2.1252659964315,6252.95156098007,21.4661691650979,146.234039578259,14.8349762785731,116.595724807087,10.671774945248,89.1847826086957,2.95121706815423,84.7826086956522,2.17391304347826,89.6666113873707,27.696317522364,70.3415650279943,12.7458642367066,2782.94478998456,218.675147009464,0.34786809874807,0.0273343933761831,0.323360707023033,0.0136108194028163,815.969029757252,31.8241773078451,815.969029757252,31.8241773078451,13.3763586956522,3.99950386789228,9.12817028985507,1.82483906533516
high_it_load,proposed_residual_safesac,5,False,485.851283020107,0.864145059892625,6242.51163486991,15.2159355843887,149.094750677222,4.29820541059023,115.568163556386,3.7216259292205,88.0163043478261,1.94630484559456,83.2608695652174,0.595350605983881,99.7382947196258,15.6301949829954,82.2117092844947,3.28249012082483,2618.27510343925,146.051369041493,0.327284387929907,0.0182564211301866,0.326345463584039,0.0090809576707162,838.18324801607,10.081079574304,838.18324801607,10.081079574304,14.7961956521739,1.88685385150568,7.06974637681159,0.572070213050763
ai_training_bursty,no_battery,1,True,450.853539257042,0,5802.59882209703,0,177.413227138433,0,139.569796997203,0,0,0,0,0,8096.04125729939,0,356.405519779892,0,0,0,0,0,0,0,844.664562741502,0,1394.06060573246,0,0,0,0,0
ai_training_bursty,rule_based,1,True,411.755872564082,0,5335.30805683733,0,213.795399602601,0,166.034941825227,0,21.875,0,6.25,0,6034.80269631692,0,356.405519779892,0,1025.52238269882,0,0.128190297837352,0,0.265950438867454,0,838.80662182921,0,1394.06060573246,0,30.0271739130435,0,0,0
ai_training_bursty,tou_self_consumption,1,True,413.271465143964,0,5457.59768348003,0,218.824019886366,0,165.833056589633,0,6.25,0,6.25,0,7547.71967689419,0,356.405519779892,0,1020.05340299921,0,0.127506675374901,0,0.249865940515036,0,853.529612363548,0,1394.06060573246,0,19.3840579710145,0,0,0
ai_training_bursty,carbon_aware,1,True,431.324828699799,0,5636.83443471793,0,223.614624068123,0,179.419322576519,0,53.90625,0,37.5,0,3334.01460736166,0,356.405519779892,0,1671.44211497546,0,0.208930264371932,0,0.297096658939122,0,893.565498568754,0,1394.06060573246,0,35.1902173913044,0,0,0
ai_training_bursty,greedy_tracking,1,True,431.718811012029,0,5608.78248350527,0,74.4147456740582,0,36.0586497211258,0,19.53125,0,0,0,5283.46549261177,0,356.405519779892,0,2490.07018396794,0,0.311258772995993,0,0.219289329863562,0,650.818343233907,0,1387.90268537418,0,15.4664855072464,0,0,0
ai_training_bursty,direct_safesac,5,False,429.822783300171,4.14257140337842,5506.31839053328,52.3625646758424,171.319452392467,22.1047181903114,143.775984635519,19.8973519365013,92.445652173913,2.79871516818479,89.5652173913043,3.31477188738628,38.3166846783555,13.6540432216086,30.9147839516839,8.75075810597485,2864.95900307969,217.403306506086,0.358119875384961,0.0271754133132608,0.176868873493572,0.0227853861082052,723.515466233364,26.1403293947621,723.515466233364,26.1403293947621,44.7871376811594,17.7456469305283,26.6485507246377,4.04185473140867
