daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,variant,seed,day_index
571.5812408638599,237.94423692496207,571.5812408638599,11909.271385495524,0.0,0.0,6691.672809112326,561.8876749472863,447.20000000000005,447.20000000000005,100.0,447.20000000000005,1.0,2493.6589810552223,0.3117073726319028,618.1595453287603,618.1595453287603,0.0,0.0,113.40039656864752,106.35889591649175,0.0,0.0,1.0,0.0,0.0,142.55921885913256,0.0,254.67250553611586,0.3090050798811361,0.6043457586308603,0.3090050798811361,0.24099492011886392,0.0,0.0,0.0,0.0,-2.4785858013016884,residual_prior_no_safety,5,56
482.92811287671907,189.2132713367808,482.92811287671907,12325.786705899964,0.0,0.0,5726.203022011396,464.5709972630342,329.9,329.9,100.0,329.9,1.0,2435.4313605540897,0.3044289200692612,673.9327374271422,673.9327374271422,0.0,0.0,79.31314060965389,68.78320276737213,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.28543567665678443,0.669307253766416,0.28543567665678443,0.2645643233432156,0.0,0.0,0.0,0.0,-1.9709715764248,residual_prior_no_safety,5,57
357.60562147478834,195.9872319301541,357.60562147478834,12093.554630636294,0.0,0.0,4310.586173081351,356.4366561144441,496.1,496.1,100.0,496.1,1.0,2724.7073693694774,0.34058842117118465,698.9083951097706,698.9083951097706,5.0,11.434881077613056,94.93016517328813,80.59655530378222,37.5,37.5,1.0,0.0,0.0,33.09471309185028,37.5,28.56366634368895,0.20739302877175492,0.6968260555980145,0.22856304642071518,0.32143695357928487,0.0,0.0,0.0,0.0,-2.0415336659391055,residual_prior_no_safety,5,58
479.43625160770216,211.43359024446661,479.43625160770216,11907.347106816556,0.0,0.0,5145.55786918192,432.13302031283365,614.3000000000001,614.3000000000001,100.0,614.3000000000001,1.0,2320.4469637162256,0.2900558704645282,652.4655468444514,652.4655468444514,0.0,0.0,92.16025814355926,80.82765024155378,50.0,50.0,1.0,0.0,0.0,104.68398928642267,50.0,79.57547530531882,0.20547326593267595,0.6456207923354297,0.20547326593267595,0.3445267340673241,0.0,0.0,0.0,0.0,-2.202433231713194,residual_prior_no_safety,5,59
476.64285541344157,199.78662041722265,476.64285541344157,11191.374092637176,0.0,0.0,6220.6499705156,555.843269916978,935.5,935.5,100.0,935.5,1.0,1908.6418779887329,0.2385802347485916,613.0175918367537,613.0175918367537,0.0,0.0,100.91906965533848,90.7472014427185,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.33612896075477927,0.6349792000331538,0.33612896075477927,0.21387103924522077,0.0,0.0,0.0,0.0,-2.0811106293460693,residual_prior_no_safety,5,60
394.1577135252949,187.77206061921373,394.1577135252949,9448.513472642484,0.0,0.0,5521.507010947953,584.378381523728,426.29999999999995,426.29999999999995,100.0,426.29999999999995,1.0,2547.4458682313807,0.3184307335289226,645.8965017385356,645.8965017385356,0.0,0.0,115.66804624739889,113.24717933312058,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3826305317193868,0.774101327928166,0.3826305317193868,0.16736946828061322,0.0,0.0,0.0,0.0,-1.9559589647834763,residual_prior_no_safety,5,61
326.1795879114833,143.60595570869447,326.1795879114833,7241.115585410305,0.0,0.0,3773.820642289438,521.1656405392956,616.6,616.6,100.0,616.6,1.0,2501.271671064812,0.31265895888310147,564.7295398368863,564.7295398368863,0.0,0.0,108.9508067286669,104.09916350618005,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.36203024225101865,0.7628100732297023,0.36203024225101865,0.1879697577489814,0.0,0.0,0.0,0.0,-1.4958953719655674,residual_prior_no_safety,5,62
625.3821658666525,245.42058155816767,625.3821658666525,12127.693546725775,0.0,0.0,6607.622883161594,544.8375536291081,679.0,679.0,100.0,679.0,1.0,2614.0213559121275,0.32675266948901593,645.4109893012385,645.4109893012385,0.0,0.0,116.7134684554903,108.47309213131666,0.0,0.0,1.0,0.0,0.0,148.7762868404388,0.0,269.5190021677448,0.29160805154602026,0.600143932657882,0.29243229266412213,0.2575677073358779,0.0,0.0,0.0,0.0,-2.556464391230913,residual_prior_no_safety,5,63
596.4752044974857,221.95939668135696,596.4752044974857,12247.673424475997,0.0,0.0,6651.064816286369,543.0472046221241,1164.1000000000001,1164.1000000000001,100.0,1164.1000000000001,1.0,2608.2933555308127,0.32603666944135157,684.7059240252319,684.7059240252319,1.0,2.0590146032265295,97.60076199305625,90.4247916303575,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.33762981558372673,0.7119641068863706,0.33762981558372673,0.2123701844162733,0.0,0.0,0.0,0.0,-2.312077048764135,residual_prior_no_safety,5,64
507.3385333006974,258.65056419633214,507.3385333006974,12521.037895012036,0.0,0.0,6136.909388007602,490.12785037990676,916.3,916.3,100.0,916.3,1.0,2820.7169942798964,0.3525896242849871,709.3461580331742,709.3461580331742,14.0,54.64759904476932,106.97616886929956,95.5215122550726,0.0,0.0,1.0,0.0,0.0,102.14408934116364,0.0,100.23607090115546,0.19086373456457095,0.6456603405247919,0.22814990230131435,0.32185009769868567,0.0,0.0,0.0,0.0,-2.69427671037846,residual_prior_no_safety,5,65
