daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,day_index,scenario,controller,seed
475.744884305992,202.161882800808,475.744884305992,9091.95711495845,0,0,5500.18680545288,604.950808270285,628.5,628.5,100,628.5,1,1940.29102001174,0.242536377501468,535.54087913431,535.54087913431,0,0,110.609155683987,101.275577303022,100,100,0,0,100,0,100,0,0.562192923379127,0.793882271897253,0.678797066223972,0.128797066223972,0,0,0,0,-2.10585294584175,36,low_it_load,proposed_residual_safesac,2
366.154901027849,178.1698454964,366.154901027849,8625.138695282,0,0,4623.28291359655,536.024181979301,1100.7,1100.7,100,1100.7,1,2412.73502981935,0.301591878727419,467.725467861474,467.725467861474,0,0,117.505382410955,111.659664195031,100,100,0,0,100,0,100,0,0.555832327688076,0.872396030438662,0.647621661659718,0.0976216616597182,0,0,0,0,-1.8559358905875,37,low_it_load,proposed_residual_safesac,2
419.198248183699,185.678018588739,419.198248183699,8811.98976044403,0,0,5205.21435299562,590.696822681434,656.3,656.3,100,656.3,1,2231.20548876011,0.278900686095014,516.740957161496,516.740957161496,0,0,110.247794864037,104.35638083145,100,100,1,1,100,0,100,0,0.558674838575896,0.819225941443876,0.615696641872247,0.0656966418722473,0,0,0,0,-1.93414602696604,38,low_it_load,proposed_residual_safesac,2
350.988617843069,180.142967902677,350.988617843069,8480.25007690367,0,0,4859.30216963687,573.014017932253,615.2,615.2,100,615.2,1,2203.22816486964,0.275403520608705,511.66494943002,511.66494943002,0,0,121.734108194014,118.270489294082,100,100,0,0,100,0,100,0,0.562276116264101,0.819921459251054,0.665748550298167,0.115748550298167,0,0,0,0,-1.87648924898622,39,low_it_load,proposed_residual_safesac,2
256.19563135006,159.324534408878,256.19563135006,6384.29063469728,0,0,3610.76707474064,565.570598418072,1260.8,1260.8,100,1260.8,1,2331.21795220174,0.291402244025218,449.43932594368,449.43932594368,0,0,136.4085141303,133.503510128039,100,100,0,0,100,0,100,0,0.559768903673484,0.9,0.674333225874888,0.124333225874888,7.29166666666667,0,7.29166666666667,0,-1.65963056675914,40,low_it_load,proposed_residual_safesac,2
223.29359393509,116.616505754132,223.29359393509,5358.34005864669,0,0,2676.5760831544,499.51590489955,773.1,773.1,100,773.1,1,1913.94590067752,0.239243237584691,377.41112697085,377.41112697085,0,0,94.5137337791287,88.3178792893887,100,100,0,0,100,0,100,0,0.537864774319214,0.811137533455248,0.639833106548616,0.0898331065486156,0,0,0,0,-1.21475526827221,41,low_it_load,proposed_residual_safesac,2
397.936179874091,155.72612139291,397.936179874091,9151.95176905498,0,0,4312.66355866865,471.228833750067,725.6,725.6,100,725.6,1,1444.60691976596,0.180575864970745,549.031426624125,549.031426624125,0,0,68.2474629060256,56.5771173685789,100,100,0,0,100,0,100,0,0.522913056863004,0.730219900449358,0.730219900449358,0.180219900449358,0,0,0,0,-1.62214709784281,42,low_it_load,proposed_residual_safesac,2
434.543999307827,185.533942058017,434.543999307827,9148.24863045677,0,0,4802.68641276005,524.984246358448,601.9,601.9,100,601.9,1,2056.95495107291,0.257119368884114,526.938484263556,526.938484263556,0,0,112.716601764013,105.494109168649,100,100,0,0,100,0,100,0,0.562066617558596,0.807118145082982,0.684222305932279,0.134222305932279,0,0,0,0,-1.93264522977101,43,low_it_load,proposed_residual_safesac,2
383.261579159788,176.360383912946,383.261579159788,8527.7381747714,0,0,4323.27270992073,506.965929454866,1402.6,1402.6,100,1402.6,1,2577.26787128367,0.322158483910459,470.217241656162,470.217241656162,0,0,122.132204479365,114.802537595035,100,100,0,0,100,0,100,0,0.558224681407047,0.9,0.653156654081803,0.103156654081803,6.25,0,6.25,0,-1.83708733242652,44,low_it_load,proposed_residual_safesac,2
352.334179431653,163.354283062477,352.334179431653,9128.92406322337,0,0,4441.43568345543,486.523455852604,497.2,497.2,100,497.2,1,1947.31362048513,0.243414202560641,526.118523514446,526.118523514446,0,0,104.958729836684,99.7821509838104,100,100,0,0,100,0,100,0,0.557432323583883,0.788421836495716,0.643867301354786,0.093867301354786,0,0,0,0,-1.70160711523414,45,low_it_load,proposed_residual_safesac,2
330.727531418678,173.057720165418,330.727531418678,8783.9797247089,0,0,4475.41933317707,509.497912499494,649.1,649.1,100,649.1,1,2303.79810783205,0.287974763479006,572.913673248035,572.913673248035,0,0,122.369165912635,118.948078807443,100,100,0,0,100,0,100,0,0.563648238322653,0.838387810894864,0.685767684445528,0.135767684445528,0,0,0,0,-1.80268458505644,46,low_it_load,proposed_residual_safesac,2
266.405902945354,152.980742654119,266.405902945354,7312.07309217996,0,0,3743.07980434567,511.904046521196,405.4,405.4,100,405.4,1,1641.67025505642,0.205208781882052,486.607935493526,486.607935493526,0,0,123.433735145864,121.898329071701,100,100,0,0,100,0,100,0,0.560990997754699,0.803385821663064,0.662430578192673,0.112430578192673,0,0,0,0,-1.59354940264708,47,low_it_load,proposed_residual_safesac,2
246.077072058778,131.676001677484,246.077072058778,5867.49392340418,0,0,2947.28466701846,502.307238063318,584.7,584.7,100,584.7,1,1811.41930955449,0.226427413694311,436.843557935758,436.843557935758,0,0,102.752101774783,99.3179408833385,100,100,0,0,100,0,100,0,0.562850894348206,0.828812626395321,0.667634076051979,0.117634076051979,0,0,0,0,-1.3716250174738,48,low_it_load,proposed_residual_safesac,2
458.910846314451,169.713346601744,458.910846314451,9328.37685470374,0,0,4951.3625484036,530.785004242933,733.5,733.5,100,733.5,1,1529.34875820808,0.19116859477601,558.917869310958,558.917869310958,0,0,60.7369753785806,50.9992287096032,100,100,1,1,100,0,100,0,0.536947136696477,0.709993376054446,0.674411606069084,0.124411606069084,0,8.33333333333333,0,8.33333333333333,-1.76784736043483,49,low_it_load,proposed_residual_safesac,2
532.062257933488,227.252193589472,532.062257933488,9972.03548548387,0,0,6296.51277388122,631.417004386612,433.8,433.8,100,433.8,1,1937.23313150508,0.242154141438135,568.600626647958,568.600626647958,0,0,111.68355004362,103.365831729025,100,100,0,0,100,0,100,0,0.563219619542366,0.792270130897718,0.719935193132165,0.169935193132165,0,0,0,0,-2.36721034989033,50,low_it_load,proposed_residual_safesac,2
