daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,day_index,date,controller,scenario
407.839485352784,177.981855371218,407.839485352784,11039.9814037868,0,0,5728.62671010643,518.898220982644,1279.8,1279.8,100,1279.8,1,0,0,730.621801966068,730.621801966068,10,74.926526144367,152.787823664834,124.767171958713,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.85397766011685,23,2019-10-24,no_battery,baseline_real
374.942055085548,157.519871629207,374.942055085548,10515.830768986,0,0,4584.50005830424,435.961756994527,1652.4,1652.4,100,1652.4,1,0,0,753.446140537848,753.446140537848,9,78.7211614385495,182.759203156132,148.640724663382,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.64083199613758,24,2019-10-25,no_battery,baseline_real
199.345459235773,105.961743636118,199.345459235773,9507.79669258338,0,0,3035.78552816439,319.29432510189,2015.9,2015.9,100,2015.9,1,0,0,657.141972293667,657.141972293667,0,0,177.174447659987,140.400591863552,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.10376816287623,25,2019-10-26,no_battery,baseline_real
209.059270698639,93.8807405193988,209.059270698639,8076.82390145576,0,0,2943.30851078069,364.414099736679,1225.4,1225.4,100,1225.4,1,0,0,472.286934487896,472.286934487896,0,0,117.083509554741,91.1000200014863,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-0.977924380410405,26,2019-10-27,no_battery,baseline_real
264.621068709823,107.520505539658,264.621068709823,6138.66872255321,0,0,3285.32712360514,535.185603278279,1398.4,1398.4,100,1398.4,1,0,0,403.838526423287,403.838526423287,0,0,126.466248169915,97.351304502864,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.1200052660381,27,2019-10-28,no_battery,baseline_real
528.102115921329,236.673448561034,528.102115921329,10796.1830647943,0,0,6353.45906528632,588.491231313458,1187.9,1187.9,100,1187.9,1,0,0,720.406849611159,720.406849611159,6,43.3280950742061,173.245246903342,147.750614965087,0,0,1,0,0,258.098445106332,0,406.067425905368,0.55,0.55,0.55,0,0,0,0,0,-2.46534842251077,28,2019-10-29,no_battery,baseline_real
524.180381027668,210.440437205126,524.180381027668,10737.0664372177,0,0,6325.95379882363,589.169661547038,1584,1584,100,1584,1,0,0,770.674951011103,770.674951011103,13,151.583271082271,191.525277377713,159.181006761445,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.1920878875534,29,2019-10-30,no_battery,baseline_real
456.897723203685,193.093132733646,456.897723203685,10385.425805576,0,0,5721.36039734383,550.90282328838,2027.9,2027.9,100,2027.9,1,0,0,732.329036920081,732.329036920081,16,142.654406690803,208.277347949867,166.61975079918,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.01138679930882,30,2019-10-31,no_battery,baseline_real
359.033779483853,155.640730534447,359.033779483853,11225.191454326,0,0,5174.25675917701,460.950423895261,757.2,757.2,100,757.2,1,0,0,721.580789133417,721.580789133417,1,11.2777308802728,121.11253822543,100.468753765617,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.62125760973383,31,2019-11-01,no_battery,baseline_real
291.178590035813,125.900659187877,291.178590035813,10581.3380232455,0,0,4056.68338246457,383.380946110282,819,819,100,819,1,0,0,627.647244888616,627.647244888616,0,0,115.353489748303,98.9622891620908,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.31146519987372,32,2019-11-02,no_battery,baseline_real
