controller,seed,daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward
no_battery,0,283.0475517669971,113.92061595972928,283.0475517669971,6446.806633622663,0.0,0.0,3684.2038927611957,571.4773378724601,1177.4,1177.4,100.0,1177.4,1.0,0.0,0.0,402.5107911177191,402.5107911177191,0.0,0.0,105.0109957689901,81.15599384700776,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.1866730829138465
no_battery,0,494.8650690892798,235.76103221532094,494.8650690892798,10579.856327074427,0.0,0.0,6098.078956616708,576.3858003450758,1432.6,1432.6,100.0,1432.6,1.0,0.0,0.0,721.2649869756434,721.2649869756434,9.0,52.88781078700694,172.03169009123235,141.59617753189062,0.0,0.0,1.0,0.0,0.0,283.7322965769233,0.0,466.54452867581006,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-2.4558440855762598
no_battery,0,468.7128423035073,195.6804810812689,468.7128423035073,10876.713004873345,0.0,0.0,6153.836926565081,565.7809417061786,1354.2,1354.2,100.0,1354.2,1.0,0.0,0.0,775.7734077336806,775.7734077336806,10.0,99.49541330472982,163.23686500761144,137.34041451162884,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-2.0383383445965513
no_battery,0,407.83948535278364,177.98185537121788,407.83948535278364,11039.98140378678,0.0,0.0,5728.626710106435,518.8982209826443,1279.8000000000002,1279.8000000000002,100.0,1279.8000000000002,1.0,0.0,0.0,730.6218019660682,730.6218019660682,10.0,74.92652614436705,152.78782366483426,124.76717195871271,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.853977660116853
no_battery,0,374.9420550855479,157.5198716292074,374.9420550855479,10515.830768986008,0.0,0.0,4584.500058304245,435.96175699452664,1652.3999999999999,1652.3999999999999,100.00000000000001,1652.3999999999999,1.0000000000000002,0.0,0.0,753.4461405378477,753.4461405378477,9.0,78.72116143854956,182.7592031561322,148.64072466338158,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.640831996137577
no_battery,0,199.34545923577303,105.96174363611789,199.34545923577303,9507.796692583379,0.0,0.0,3035.78552816439,319.2943251018898,2015.9,2015.9,100.0,2015.9,1.0,0.0,0.0,657.1419722936665,657.1419722936665,0.0,0.0,177.17444765998658,140.400591863552,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.103768162876228
no_battery,0,209.05927069863893,93.88074051939884,209.05927069863893,8076.823901455757,0.0,0.0,2943.30851078069,364.4140997366789,1225.4,1225.4,100.0,1225.4,1.0,0.0,0.0,472.2869344878961,472.2869344878961,0.0,0.0,117.08350955474123,91.1000200014863,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-0.9779243804104046
no_battery,0,264.62106870982313,107.52050553965776,264.62106870982313,6138.668722553208,0.0,0.0,3285.3271236051396,535.1856032782788,1398.4,1398.4,100.0,1398.4,1.0,0.0,0.0,403.8385264232869,403.8385264232869,0.0,0.0,126.46624816991533,97.35130450286401,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.1200052660381017
no_battery,0,528.1021159213294,236.67344856103415,528.1021159213294,10796.183064794324,0.0,0.0,6353.45906528632,588.4912313134585,1187.9,1187.9,100.0,1187.9,1.0,0.0,0.0,720.4068496111588,720.4068496111588,6.0,43.32809507420609,173.24524690334167,147.75061496508735,0.0,0.0,1.0,0.0,0.0,258.09844510633224,0.0,406.06742590536805,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-2.4653484225107722
no_battery,0,524.180381027668,210.44043720512602,524.180381027668,10737.066437217725,0.0,0.0,6325.953798823628,589.1696615470379,1584.0,1584.0,100.0,1584.0,1.0,0.0,0.0,770.674951011103,770.674951011103,13.0,151.58327108227115,191.52527737771285,159.18100676144468,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-2.192087887553396
no_battery,0,456.89772320368456,193.0931327336463,456.89772320368456,10385.425805576017,0.0,0.0,5721.360397343829,550.9028232883803,2027.8999999999999,2027.8999999999999,100.0,2027.8999999999999,1.0,0.0,0.0,732.3290369200805,732.3290369200805,16.0,142.65440669080294,208.27734794986705,166.6197507991801,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-2.011386799308816
no_battery,0,359.0337794838535,155.64073053444727,359.0337794838535,11225.191454325955,0.0,0.0,5174.256759177006,460.9504238952606,757.2,757.2,100.0,757.2,1.0,0.0,0.0,721.5807891334169,721.5807891334169,1.0,11.277730880272799,121.11253822542993,100.4687537656173,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.6212576097338258
no_battery,0,291.17859003581293,125.90065918787747,291.17859003581293,10581.33802324552,0.0,0.0,4056.6833824645664,383.3809461102818,819.0,819.0,100.0,819.0,1.0,0.0,0.0,627.6472448886155,627.6472448886155,0.0,0.0,115.35348974830316,98.96228916209073,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.3114651998737237
no_battery,0,230.75284462293993,119.8801630615828,230.75284462293993,8424.466251183705,0.0,0.0,4194.972429726452,497.9511229138136,700.5,700.5,100.0,700.5,1.0,0.0,0.0,462.7654810169641,462.7654810169641,0.0,0.0,105.29521081376599,87.15314271093366,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,-1.2487516985581542
