variant,seed,daily_cost_EUR,carbon_emissions_kgCO2,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,battery_throughput_kWh,equivalent_full_cycles,terminal_SOC_error,mean_daily_peak_import_kW,physical_projection_fraction_pct,service_coaching_fraction_pct,DR_interval_compliance_pct,DR_event_compliance_pct,DR_violation_energy_kWh,DR_max_violation_kW,horizon_max_grid_import_kW,mean_daily_DR_violation_energy_kWh,mean_daily_max_DR_violation_kW,mean_daily_DR_interval_compliance_pct,mean_daily_DR_event_compliance_pct,secondary_daily_average_DR_compliance_pct,test_days
residual_sac,4,395.70721746512334,5089.219398753224,85.30440646229059,74.66243245382302,2730.122493674747,0.34126531170934343,0.1710059751321293,562.1163373932137,0.11322463768115944,6.419836956521739,100.0,100.0,0.0,0.0,882.7733913547007,0.0,0.0,100.0,100.0,100.0,92
residual_sac,5,396.2634878554343,5136.563122898385,83.03160511477431,72.72411219685613,3032.7634049878675,0.3790954256234834,0.13927438435302933,600.3130300251663,0.30570652173913043,6.736865942028986,100.0,100.0,0.0,0.0,726.902710088039,0.0,0.0,100.0,100.0,100.0,92
proposed_no_terminal_recovery,1,388.4972735317769,5009.530791942333,89.23657699517852,76.56985890878057,3301.9090146243393,0.4127386268280423,0.2125603494259691,588.6678913815622,0.6000905797101449,4.517663043478261,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
proposed_no_terminal_recovery,2,401.3918674125453,5208.788865124851,84.67638640223315,76.3063247665339,2707.5305162215473,0.33844131452769344,0.10222600973592286,580.7128468907105,0.12454710144927537,7.552083333333334,100.0,100.0,0.0,0.0,746.7038577207071,0.0,0.0,100.0,100.0,100.0,92
proposed_no_terminal_recovery,3,388.6005022870198,5057.833278335644,80.25147391943722,69.57684178252025,2796.576329956677,0.34957204124458463,0.17750773987050011,576.226924168042,0.12454710144927535,5.219655797101448,100.0,100.0,0.0,0.0,892.7612750606252,0.0,0.0,100.0,100.0,100.0,92
proposed_no_terminal_recovery,4,389.06868332970083,5015.041690294145,86.41115442528944,77.002775772914,2657.2952314303025,0.3321619039287878,0.20869609313936466,561.8235699175973,0.20380434782608695,6.148097826086956,100.0,100.0,0.0,0.0,952.3276157533572,0.0,0.0,100.0,100.0,100.0,92
proposed_no_terminal_recovery,5,389.1266457952199,5070.063615282319,79.15206550674655,67.25466123320811,2911.7474477219803,0.36396843096524756,0.1689484060006471,597.7157763217165,0.6453804347826086,5.0724637681159415,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
proposed_residual_safesac,1,391.2055820469282,5074.870924066451,81.0263067443096,69.68754578548977,3140.158531930257,0.3925198164912821,0.1767624842720153,583.6180925150031,0.4981884057971014,4.755434782608695,100.0,100.0,0.0,0.0,909.0337120378434,0.0,0.0,100.0,100.0,100.0,92
proposed_residual_safesac,2,391.2299418360277,5057.127460544788,86.46242572307567,76.7972263506522,2437.1389767060837,0.3046423720882605,0.17991726861948176,569.5465227021198,0.23777173913043478,6.317934782608695,99.21875,93.75,1.6292894697963618,6.517157879185447,996.5413985647466,0.017709668149960455,0.07083867259984182,99.86413043478261,98.91304347826087,99.86413043478261,92
proposed_residual_safesac,3,398.24652050885277,5155.69952259747,76.16633840344157,66.0310654242296,2590.4004745155435,0.323800059314443,0.13064014359859727,555.2417320520515,0.9057971014492755,5.502717391304347,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
proposed_residual_safesac,4,392.8800218459983,5074.510703838729,80.41200469412045,68.13264160737427,2697.508857960829,0.33718860724510363,0.17210041666586046,561.6025832768006,0.24909420289855075,5.310235507246377,100.0,100.0,0.0,0.0,952.3276157533572,0.0,0.0,100.0,100.0,100.0,92
proposed_residual_safesac,5,391.4561286165055,5095.860126514305,77.78193963535408,65.5654836787067,2841.2110882504126,0.35515138603130153,0.16034102907885026,590.8752881931824,0.3396739130434782,4.630887681159421,100.0,100.0,0.0,0.0,996.5413985647466,0.0,0.0,100.0,100.0,100.0,92
