scenario,controller,seeds,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_violation_energy_kWh_mean,DR_violation_energy_kWh_std_across_seeds,DR_max_violation_kW_mean,DR_max_violation_kW_std_across_seeds,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,mean_daily_DR_interval_compliance_pct_mean,mean_daily_DR_interval_compliance_pct_std_across_seeds,mean_daily_DR_event_compliance_pct_mean,mean_daily_DR_event_compliance_pct_std_across_seeds,mean_daily_DR_violation_energy_kWh_mean,mean_daily_DR_violation_energy_kWh_std_across_seeds,mean_daily_max_DR_violation_kW_mean,mean_daily_max_DR_violation_kW_std_across_seeds,secondary_daily_average_DR_compliance_pct_mean,secondary_daily_average_DR_compliance_pct_std_across_seeds
high_it_load,greedy_tracking,1,481.04884652247637,0.0,6211.890922979885,0.0,138.8588979954432,0.0,76.73944738246428,0.0,2258.6499012290187,0.0,0.2823312376536274,0.0,0.33699404346304546,0.0,841.4291332086212,0.0,27.162590579710148,0.0,0.0,0.0,10.15625,0.0,0.0,0.0,11892.60177654097,0.0,574.6663059059015,0.0,1267.0303052629702,0.0,84.375,0.0,82.6086956521739,0.0,129.2674106145758,0.0,87.39759501212885,0.0,84.375,0.0
high_it_load,direct_safesac,5,495.4971723924731,1.059224357590382,6408.599252488538,33.63323931133393,183.49775736702458,20.53181301362518,153.24311941786095,19.55624178259698,2856.9340034615684,135.82947236151023,0.3571167504326961,0.016978684045188756,0.2427923047275345,0.022925053911391605,821.4984260116855,26.71882184222599,45.85371376811595,14.927725768586845,37.64719202898551,3.7604133529729316,67.34375,15.343161266709348,23.75,27.386127875258307,4242.954757322082,2108.980185352307,574.6663059059015,0.0,1267.0303052629702,0.0,94.32065217391303,2.6683758724711892,86.73913043478261,4.762804847871006,46.11907344915305,22.923697666872897,62.03460582660305,22.8284795129497,94.32065217391303,2.6683758724711892
high_it_load,residual_sac,5,486.62115422785064,2.1252659964315086,6252.951560980068,21.46616916509715,146.23403957825911,14.834976278573121,116.59572480708746,10.671774945248005,2782.944789984558,218.67514700946438,0.34786809874806973,0.027334393376183017,0.32336070702303354,0.01361081940281624,815.9690297572521,31.8241773078451,13.376358695652176,3.999503867892286,9.128170289855072,1.8248390653351576,37.8125,16.969498141886813,12.5,12.5,8249.328247638106,2548.0612120574892,570.7992940832529,8.646901305237582,1267.0303052629702,0.0,89.18478260869566,2.9512170681542274,84.78260869565217,2.1739130434782594,89.66661138737072,27.696317522364012,70.3415650279943,12.745864236706602,89.18478260869566,2.9512170681542274
high_it_load,proposed_residual_safesac,5,485.85128302010696,0.8641450598925712,6242.511634869914,15.215935584388335,149.09475067722173,4.2982054105902465,115.56816355638628,3.7216259292205125,2618.275103439254,146.0513690414925,0.3272843879299067,0.01825642113018657,0.32634546358403943,0.009080957670716257,838.1832480160695,10.081079574303944,14.796195652173912,1.8868538515056803,7.069746376811594,0.5720702130507628,31.09375,11.191252862168739,3.75,3.4232659844072884,9175.92311420557,1437.9779384355757,574.6663059059015,0.0,1267.0303052629702,0.0,88.0163043478261,1.946304845594564,83.26086956521739,0.5953506059838813,99.73829471962578,15.630194982995393,82.21170928449475,3.282490120824831,88.0163043478261,1.946304845594564
ai_training_bursty,no_battery,1,450.8535392570425,0.0,5802.598822097032,0.0,177.41322713843314,0.0,139.56979699720347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.6645627415019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8096.041257299392,0.0,356.40551977989185,0.0,1394.0606057324624,0.0,82.6086956521739,0.0,82.6086956521739,0.0,88.00044844890644,0.0,53.860838706386176,0.0,82.6086956521739,0.0
ai_training_bursty,rule_based,1,411.7558725640815,0.0,5335.308056837325,0.0,213.79539960260098,0.0,166.03494182522675,0.0,1025.5223826988163,0.0,0.12819029783735203,0.0,0.2659504388674543,0.0,838.8066218292099,0.0,30.027173913043477,0.0,0.0,0.0,21.875,0.0,6.25,0.0,6034.802696316918,0.0,356.40551977989185,0.0,1394.0606057324624,0.0,86.41304347826087,0.0,83.69565217391305,0.0,65.59568148170563,0.0,43.46061223134369,0.0,86.41304347826087,0.0
ai_training_bursty,tou_self_consumption,1,413.27146514396367,0.0,5457.59768348003,0.0,218.8240198863659,0.0,165.83305658963326,0.0,1020.0534029992098,0.0,0.1275066753749012,0.0,0.2498659405150362,0.0,853.529612363548,0.0,19.38405797101449,0.0,0.0,0.0,6.25,0.0,6.25,0.0,7547.71967689419,0.0,356.40551977989185,0.0,1394.0606057324624,0.0,83.69565217391305,0.0,83.69565217391305,0.0,82.04043127058902,0.0,50.14526464036021,0.0,83.69565217391305,0.0
ai_training_bursty,carbon_aware,1,431.3248286997987,0.0,5636.834434717929,0.0,223.6146240681225,0.0,179.41932257651865,0.0,1671.4421149754587,0.0,0.20893026437193232,0.0,0.2970966589391218,0.0,893.5654985687542,0.0,35.19021739130435,0.0,0.0,0.0,53.90625,0.0,37.5,0.0,3334.014607361664,0.0,356.40551977989185,0.0,1394.0606057324624,0.0,91.9836956521739,0.0,89.1304347826087,0.0,36.239289210452874,0.0,26.119066932906495,0.0,91.9836956521739,0.0
ai_training_bursty,greedy_tracking,1,431.7188110120294,0.0,5608.782483505266,0.0,74.41474567405817,0.0,36.05864972112583,0.0,2490.070183967942,0.0,0.3112587729959927,0.0,0.21928932986356192,0.0,650.818343233907,0.0,15.466485507246375,0.0,0.0,0.0,19.53125,0.0,0.0,0.0,5283.465492611768,0.0,356.40551977989185,0.0,1387.9026853741793,0.0,86.0054347826087,0.0,82.6086956521739,0.0,57.42897274578008,0.0,36.13723483250037,0.0,86.0054347826087,0.0
ai_training_bursty,direct_safesac,5,429.8227833001712,4.142571403378423,5506.318390533282,52.36256467584275,171.31945239246747,22.104718190311385,143.77598463551902,19.897351936501252,2864.9590030796903,217.40330650608578,0.35811987538496126,0.027175413313260725,0.17686887349357205,0.02278538610820524,723.5154662333638,26.14032939476211,44.78713768115942,17.74564693052826,26.64855072463768,4.041854731408678,56.5625,16.092612217062523,40.0,19.059938352471132,3525.134990408706,1256.171976387994,356.40551977989185,0.0,1368.1112212481808,21.287205008884317,92.44565217391305,2.7987151681847866,89.56521739130434,3.3147718873862817,38.3166846783555,13.65404322160863,30.914783951683923,8.750758105974846,92.44565217391305,2.7987151681847866
